,user_id,business_id,cool,funny,useful,date,stars,restaurant,user
0,gjnrVDX2l_LGfMEkcKBXxg,xm7-97_FjTOChQPUr0AfVA,0,0,4,2013,3,89,2081
1,gjnrVDX2l_LGfMEkcKBXxg,wROj9KOvOHgKwXlG9PUsIA,0,0,0,2013,3,600,2081
2,gjnrVDX2l_LGfMEkcKBXxg,wzugmCevnXuCMCF4upAf0w,0,0,1,2014,4,108,2081
3,gjnrVDX2l_LGfMEkcKBXxg,1Ok2EXqdH-R0sy-_tyOrMg,0,0,0,2015,4,330,2081
4,gjnrVDX2l_LGfMEkcKBXxg,VqT-IURXmVS_fVRLTKxTFQ,1,0,1,2013,4,1437,2081
5,gjnrVDX2l_LGfMEkcKBXxg,f-GwGqmGJ17F6w5CXcZkSg,0,0,0,2012,3,186,2081
6,gjnrVDX2l_LGfMEkcKBXxg,h-DZp9A3p2se3QRUFc99pg,1,0,1,2013,3,774,2081
7,gjnrVDX2l_LGfMEkcKBXxg,JRRduMZI2aU3UCjfNEQURA,0,0,0,2015,3,996,2081
8,gjnrVDX2l_LGfMEkcKBXxg,WOd8tWsh2Yt_osHv-ngx_w,1,0,0,2012,4,1236,2081
9,gjnrVDX2l_LGfMEkcKBXxg,K67pkQljTFTW_P-7xUQrFw,0,0,0,2012,3,1313,2081
10,gjnrVDX2l_LGfMEkcKBXxg,kpuMEGNsjD4R5VnJa8IWTw,0,0,0,2012,2,175,2081
11,gjnrVDX2l_LGfMEkcKBXxg,OatOHmJMq8b44cdz6L2N9A,0,0,0,2015,3,1357,2081
12,gjnrVDX2l_LGfMEkcKBXxg,ivjyqE0Wrr5sIfaq3VJWAQ,0,0,0,2016,3,700,2081
13,gjnrVDX2l_LGfMEkcKBXxg,O_Yi95nUeeqSudiMlUfttQ,0,0,1,2013,3,247,2081
14,gjnrVDX2l_LGfMEkcKBXxg,E0ZBxYiCbmkTe3W0CxxEbw,1,0,3,2014,4,532,2081
15,gjnrVDX2l_LGfMEkcKBXxg,lVba33wgQ7VZpRFdS0Cr3w,0,0,1,2015,2,133,2081
16,gjnrVDX2l_LGfMEkcKBXxg,2tiFUn8EU0EpjWBHjt1L6w,0,0,2,2012,1,1117,2081
17,gjnrVDX2l_LGfMEkcKBXxg,n13D0oPyaa96BtZv-Yxb6Q,0,0,0,2014,3,1080,2081
18,JAIC-ZoDmAF4e52y3Tzvng,xm7-97_FjTOChQPUr0AfVA,0,0,0,2016,3,89,917
19,JAIC-ZoDmAF4e52y3Tzvng,-1xuC540Nycht_iWFeJ-dw,0,1,0,2017,5,1515,917
20,JAIC-ZoDmAF4e52y3Tzvng,wzugmCevnXuCMCF4upAf0w,0,0,0,2016,4,108,917
21,JAIC-ZoDmAF4e52y3Tzvng,9xSwne4GjwZ6Hlzdx2Zszg,0,0,0,2016,2,1241,917
22,JAIC-ZoDmAF4e52y3Tzvng,ubOoMnnqm5w30gh_eRNxkA,0,0,0,2016,2,124,917
23,JAIC-ZoDmAF4e52y3Tzvng,OxkW1Eco5R6l-krtkEhwhQ,0,1,0,2016,5,1532,917
24,JAIC-ZoDmAF4e52y3Tzvng,q0GL761jc3ia_nEDt7Nghw,1,0,0,2017,5,560,917
25,JAIC-ZoDmAF4e52y3Tzvng,8rzIvM4Q596MI2pVlp67BA,0,0,0,2016,4,1525,917
26,JAIC-ZoDmAF4e52y3Tzvng,FGhjG7OensQms5ggUYx9wA,1,1,0,2016,5,778,917
27,JAIC-ZoDmAF4e52y3Tzvng,xF4xbsAdhr44s9psc_v7tQ,0,0,0,2016,5,449,917
28,JAIC-ZoDmAF4e52y3Tzvng,Y3q4842aUC0jRevGk4a2GA,0,0,0,2016,5,1040,917
29,JAIC-ZoDmAF4e52y3Tzvng,mosJ-tTDBA0ypKlYEDulBQ,0,0,0,2016,4,1538,917
30,JAIC-ZoDmAF4e52y3Tzvng,4vzxDkAcnOQEQcs4rk_7-Q,0,0,1,2016,1,626,917
31,JAIC-ZoDmAF4e52y3Tzvng,sqpgdaQV5-GBsn8IIrAT6A,0,0,0,2016,3,294,917
32,JAIC-ZoDmAF4e52y3Tzvng,Jjy8y9Gi7pcytQrzgAN_Fg,0,0,0,2016,4,720,917
33,_KWSSqa3_NgsQu455PHipA,xm7-97_FjTOChQPUr0AfVA,0,0,2,2014,4,89,1735
34,_KWSSqa3_NgsQu455PHipA,0k-WPC8TGbdSdl7qKHcRvg,0,0,2,2013,4,1494,1735
35,_KWSSqa3_NgsQu455PHipA,-mUXTkHOxfLxFDnaMcvqAA,0,0,2,2013,4,345,1735
36,_KWSSqa3_NgsQu455PHipA,5T6kFKFycym_GkhgOiysIw,0,0,0,2013,2,2,1735
37,_KWSSqa3_NgsQu455PHipA,8K5fQnv3YZIIhERyU82UBg,0,0,0,2013,5,1124,1735
38,_KWSSqa3_NgsQu455PHipA,QeFsIMcIFIJcOrpthYL8jg,0,0,0,2014,4,158,1735
39,_KWSSqa3_NgsQu455PHipA,FRuuIDOd21pTJHvEGIt1Gg,1,0,2,2014,3,1244,1735
40,_KWSSqa3_NgsQu455PHipA,2MSqfWIaD58x7eysFN-9qA,0,0,1,2013,5,892,1735
41,pjyiGFo8GNQ4YvcukxbOug,xm7-97_FjTOChQPUr0AfVA,0,1,3,2014,2,89,2523
42,pjyiGFo8GNQ4YvcukxbOug,sCr3A1IpKuifofjoJo0v9Q,1,1,4,2014,4,645,2523
43,pjyiGFo8GNQ4YvcukxbOug,r76Jr-MchYOobglY6TguzQ,2,3,10,2015,4,896,2523
44,pjyiGFo8GNQ4YvcukxbOug,9u-nVJmHz_fB6CFW41JI-w,2,0,3,2014,4,870,2523
45,pjyiGFo8GNQ4YvcukxbOug,SD7vTf-H00J8BS3L-kt7jg,1,0,2,2013,4,257,2523
46,pjyiGFo8GNQ4YvcukxbOug,h-DZp9A3p2se3QRUFc99pg,3,1,4,2012,4,774,2523
47,pjyiGFo8GNQ4YvcukxbOug,OxkW1Eco5R6l-krtkEhwhQ,1,0,2,2015,4,1532,2523
48,pjyiGFo8GNQ4YvcukxbOug,8rzIvM4Q596MI2pVlp67BA,1,1,1,2015,4,1525,2523
49,pjyiGFo8GNQ4YvcukxbOug,gjATEWAllTfxfxhGqJ93sQ,1,1,1,2014,5,73,2523
50,pjyiGFo8GNQ4YvcukxbOug,-HsqnPAz374YSoyFDyjl3A,2,3,1,2015,2,1302,2523
51,pjyiGFo8GNQ4YvcukxbOug,z1RYEzRQzhBKw0Pez3xSHA,0,0,1,2015,3,831,2523
52,pjyiGFo8GNQ4YvcukxbOug,WJsDppnOQnP-GlvHmFNHag,0,0,0,2013,5,305,2523
53,pjyiGFo8GNQ4YvcukxbOug,dNPJHZorXKvjEUnY0tCQ4Q,2,0,3,2012,4,775,2523
54,pjyiGFo8GNQ4YvcukxbOug,k_4HaQ1lVYx4FH96JdF-bg,8,4,10,2013,4,1081,2523
55,cDP4v_TQ4NFmwloP5a3wug,xm7-97_FjTOChQPUr0AfVA,0,0,1,2009,3,89,1869
56,cDP4v_TQ4NFmwloP5a3wug,_BnBjRMt5Ba-TAv07r3fyw,1,5,3,2009,1,446,1869
57,cDP4v_TQ4NFmwloP5a3wug,lFIQNKHSeAOfuUAghxP_Cg,0,1,1,2009,5,910,1869
58,cDP4v_TQ4NFmwloP5a3wug,52-omTjba8j2Zo6Eg6_jgw,1,0,3,2009,2,1121,1869
59,cDP4v_TQ4NFmwloP5a3wug,oq3X84QyoUC8tLDyOJUXRQ,1,0,2,2009,5,285,1869
60,cDP4v_TQ4NFmwloP5a3wug,TJt1W9haRm2DKuoZLQ69yA,0,0,0,2009,5,923,1869
61,cDP4v_TQ4NFmwloP5a3wug,GuAa3tTE3zSr05sUOQYXzA,1,0,2,2010,5,890,1869
62,cDP4v_TQ4NFmwloP5a3wug,taet5lzHXhUGGkPrWcfmsg,1,1,1,2010,5,1217,1869
63,cDP4v_TQ4NFmwloP5a3wug,H8Kko51jnr0PH1mP3qpBCQ,0,0,0,2009,4,1268,1869
64,cDP4v_TQ4NFmwloP5a3wug,c8j5MQqlb0RhgS_bpxMDuA,0,0,1,2010,3,1071,1869
65,cDP4v_TQ4NFmwloP5a3wug,GSOYOUQa5pY19EP3JzJq2w,0,0,4,2009,2,344,1869
66,cDP4v_TQ4NFmwloP5a3wug,_oS_BR0JuQ6Y55XP8HU_2Q,1,0,0,2009,4,1264,1869
